TAXON;Records_1921-1940;Records_1941-1960;Records_1961-1980;Records_1981-2000;Records_2001-2020;Trend_mediterranean;Trend_alpine;Trend_atlantic;Trend_boreal;Trend_continental;;;
Andrena kornosica;0;0;0;0;12;NA;NA;NA;NA;NA;;;
Andrena kriechbaumeri;0;0;13;10;24;0.00217977798527176;0.0164126078089503;NA;NA;NA;;;
Andrena labialis;178;489;452;740;1997;NA;NA;NA;NA;NA;;;
Andrena labiata;210;364;386;1272;3615;NA;NA;NA;NA;NA;;;
Andrena laevicorpus;0;1;0;1;2;NA;NA;NA;NA;NA;;;
Andrena lagopus;20;38;118;271;508;NA;NA;NA;NA;NA;;;
Andrena lamiana;0;0;4;2;0;NA;NA;NA;NA;NA;;;
Andrena langadensis;0;0;2;5;4;NA;NA;NA;NA;NA;;;
Andrena lapponica;425;487;925;2004;5957;NA;0.00798947276742498;-0.0100446523247563;0.007190359321279;-0.00866773125080792;;;
Andrena larisana;0;0;0;6;0;NA;NA;NA;NA;NA;;;
Andrena lateralis;0;0;7;0;28;0.134525307556631;NA;NA;NA;NA;;;
Andrena lathyri;370;482;434;364;2127;-0.256798446063177;-0.0154977252501193;-0.0328834413282287;-0.0249344600835768;-0.0229377617099599;;;
Andrena laurivora;0;0;0;0;5;NA;NA;NA;NA;NA;;;
Andrena lavandulae;1;9;10;29;34;NA;NA;NA;NA;NA;;;
Andrena lecana;0;0;1;2;6;NA;NA;NA;NA;NA;;;
Andrena lepida;3;9;48;35;30;NA;NA;NA;NA;NA;;;
Andrena leptopyga;0;0;152;8;12;-0.0704423367094227;NA;NA;NA;NA;;;
Andrena leucolippa;0;2;151;232;123;NA;NA;NA;NA;NA;;;
Andrena leucophaea;0;1;1;27;7;NA;NA;NA;NA;NA;;;
Andrena leucopsis;0;0;2;1;2;NA;NA;NA;NA;NA;;;
Andrena levante;0;0;1;1;10;NA;NA;NA;NA;NA;;;
Andrena limassolica;0;2;0;0;0;NA;NA;NA;NA;NA;;;
Andrena limata;29;34;119;185;174;NA;NA;NA;NA;NA;;;
Andrena limbata;2;2;18;39;24;NA;NA;NA;NA;NA;;;
Andrena lindbergella;1;0;0;0;0;NA;NA;NA;NA;NA;;;
Andrena livens;3;2;18;67;80;-0.00618825276320074;NA;NA;NA;NA;;;
Andrena longibarbis;0;0;121;107;81;0.046633902157334;NA;NA;NA;NA;;;
Andrena lusitania;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena macroptera;0;0;0;0;7;NA;NA;NA;NA;NA;;;
Andrena magunta;0;0;3;4;10;NA;NA;NA;NA;NA;;;
Andrena marginata;397;410;284;384;3354;NA;-0.0256502561286758;-0.0759289436055335;0.00547602037405541;-0.036831824236488;;;
Andrena medeninensis;0;0;0;2;2;NA;NA;NA;NA;NA;;;
Andrena melacana;0;0;1;2;3;NA;NA;NA;NA;NA;;;
Andrena merula;0;0;0;6;4;0.00463335109166415;NA;NA;NA;NA;;;
Andrena miegiella;5;13;12;30;39;NA;NA;NA;NA;NA;;;
Andrena minutula;460;494;2910;8111;12928;0.0084236254068589;0.0303268474474386;0.0052061030762454;0.0465181469130678;0.00127233267362735;;;
Andrena minutuloides;168;324;573;1176;3923;NA;NA;NA;NA;NA;;;
Andrena mistrensis;0;0;7;0;0;NA;NA;NA;NA;NA;;;
Andrena mitis;46;61;110;207;508;NA;0.0128448612884937;-0.0318279310249004;NA;-0.0232794507348147;;;
Andrena mocsaryi;0;0;0;4;15;NA;NA;NA;NA;NA;;;
Andrena monacha;0;0;1;0;9;NA;NA;NA;NA;NA;;;
Andrena monilia;2;0;0;0;0;NA;NA;NA;NA;NA;;;
Andrena montana;1;1;2;12;36;NA;-0.00320371848602428;NA;NA;NA;;;
Andrena morio;40;69;134;102;232;-0.0565010541021056;0.0581051827258915;-0.086244992744633;NA;-0.0146536108868343;;;
Andrena mucida;5;4;63;37;62;NA;NA;NA;NA;NA;;;
Andrena mucronata;0;0;1;0;3;NA;NA;NA;NA;NA;;;
Andrena murana;1;0;3;0;5;NA;NA;NA;NA;NA;;;
Andrena muscaria;0;0;1;2;0;NA;NA;NA;NA;NA;;;
Andrena nana;41;33;96;150;250;NA;NA;NA;NA;NA;;;
Andrena nanaeformis;0;1;0;0;0;NA;NA;NA;NA;NA;;;
Andrena nanula;10;111;167;22;191;NA;NA;NA;NA;NA;;;
Andrena nasuta;2;0;16;16;9;NA;0.0198196422728477;NA;-0.0206528939684915;0.0153164440240001;;;
Andrena nebularia;0;0;2;6;1;NA;NA;NA;NA;NA;;;
Andrena neocypriaca;0;0;3;3;4;NA;NA;NA;NA;NA;;;
Andrena neovirida;0;0;16;2;1;-0.734897527295585;NA;NA;NA;NA;;;
Andrena nigriceps;47;76;214;388;1419;NA;NA;NA;NA;NA;;;
Andrena nigroaenea;410;531;1876;5204;12265;0.00962298202041964;0.0324265831879295;-0.00766349781023758;0.0667003561979468;-0.0108723953703513;;;
Andrena nigroolivacea;8;10;177;77;381;-0.0293972843902732;NA;NA;NA;0.0801351863471089;;;
Andrena nigropilosa;0;1;5;20;8;NA;NA;NA;NA;NA;;;
Andrena nigrospina;325;404;130;108;458;-0.0688672502760409;NA;-0.0437087082313619;-0.0470564871540721;-0.0731634797982061;;;
Andrena nigroviridula;0;0;13;10;18;NA;NA;NA;NA;NA;;;
Andrena nilotica;0;0;0;5;14;-0.00545657776225244;NA;NA;NA;NA;;;
Andrena nisoria;0;0;0;0;3;NA;NA;NA;NA;NA;;;
Andrena nitida;333;645;1584;4804;10056;-0.0382135532896545;0.0333526768597198;0.0186202639224671;-0.0525322182244952;-0.00855997581189891;;;
Andrena nitidemula;0;0;0;4;0;NA;NA;NA;NA;NA;;;
Andrena nitidiuscula;69;128;179;231;347;-0.0617051391423964;-0.00131729772699482;0.0153864114604457;-0.0100821437801568;-0.0389311205504984;;;
Andrena nitidula;2;48;118;72;142;-0.0328545443655475;NA;NA;NA;-0.0293756001931676;;;
Andrena niveata;34;47;38;77;82;NA;NA;NA;NA;NA;;;
Andrena nobilis;0;0;11;4;1;0.0105829785345467;NA;NA;NA;NA;;;
Andrena nucleola;0;0;0;2;0;NA;NA;NA;NA;NA;;;
Andrena nuptialis;9;18;23;7;60;-0.0996809761264303;0.0058721708341751;NA;NA;-0.00234714601039686;;;
Andrena nycthemera;1;15;20;63;504;NA;NA;0.0824136800279298;-0.021338798717656;-0.00165393577110268;;;
Andrena obsoleta;0;1;0;0;0;NA;NA;NA;NA;NA;;;
Andrena olympica;0;0;16;8;0;0.0162570797285458;NA;NA;NA;NA;;;
Andrena omnilaevis;0;0;4;28;5;NA;NA;NA;NA;NA;;;
Andrena optata;0;0;1;1;5;NA;NA;NA;NA;NA;;;
Andrena oralis;0;0;2;18;39;NA;NA;NA;NA;0.665530446613082;;;
Andrena orana;0;3;0;4;36;NA;NA;NA;NA;NA;;;
Andrena orbitalis;0;2;80;112;235;-0.0284861730383693;NA;NA;NA;NA;;;
Andrena orientana;0;0;4;7;24;-0.021720270038762;NA;NA;NA;NA;;;
Andrena ortizi;0;0;0;2;0;NA;NA;NA;NA;NA;;;
Andrena ovata;3;0;6;18;47;NA;NA;NA;NA;NA;;;
Andrena ovatula;4;31;89;128;132;-0.00726474570869986;0.0741070871974974;0.015582661525107;NA;0.0244109302629485;;;
Andrena oviventris;0;0;13;43;57;NA;NA;NA;NA;NA;;;
