"","sample","Estimator","region_year","region_100","endYear","record_count"
"156","Ratlantic_Y1976",84.7804136092905,"Ratlantic_Y1976","atlantic",1976,8651
"157","Ratlantic_Y1977",87.4429847972843,"Ratlantic_Y1977","atlantic",1977,13100
"158","Ratlantic_Y1978",88.9333383841783,"Ratlantic_Y1978","atlantic",1978,12825
"159","Ratlantic_Y1979",73.3659696139672,"Ratlantic_Y1979","atlantic",1979,27688
"160","Ratlantic_Y1980",84.5084366847907,"Ratlantic_Y1980","atlantic",1980,17745
"161","Ratlantic_Y1981",89.6701736688496,"Ratlantic_Y1981","atlantic",1981,12701
"162","Ratlantic_Y1982",93.9174789959001,"Ratlantic_Y1982","atlantic",1982,11681
"163","Ratlantic_Y1983",96.1456142022476,"Ratlantic_Y1983","atlantic",1983,10642
"164","Ratlantic_Y1984",89.9872147883615,"Ratlantic_Y1984","atlantic",1984,16074
"165","Ratlantic_Y1985",88.7266488782864,"Ratlantic_Y1985","atlantic",1985,13680
"166","Ratlantic_Y1986",94.6882805184046,"Ratlantic_Y1986","atlantic",1986,12107
"167","Ratlantic_Y1987",90.8415757307151,"Ratlantic_Y1987","atlantic",1987,13050
"168","Ratlantic_Y1988",90.8413788536931,"Ratlantic_Y1988","atlantic",1988,13663
"169","Ratlantic_Y1989",85.4686448100236,"Ratlantic_Y1989","atlantic",1989,12934
"170","Ratlantic_Y1990",82.2559106754239,"Ratlantic_Y1990","atlantic",1990,15130
"171","Ratlantic_Y1991",83.6822481333071,"Ratlantic_Y1991","atlantic",1991,11756
"172","Ratlantic_Y1992",83.9837098901192,"Ratlantic_Y1992","atlantic",1992,13587
"173","Ratlantic_Y1993",86.4232482506993,"Ratlantic_Y1993","atlantic",1993,16802
"174","Ratlantic_Y1994",91.4433538267842,"Ratlantic_Y1994","atlantic",1994,17359
"175","Ratlantic_Y1995",87.1630225726018,"Ratlantic_Y1995","atlantic",1995,20457
"176","Ratlantic_Y1996",87.8488816102185,"Ratlantic_Y1996","atlantic",1996,24900
"177","Ratlantic_Y1997",84.3848658659738,"Ratlantic_Y1997","atlantic",1997,32686
"178","Ratlantic_Y1998",83.8596954171157,"Ratlantic_Y1998","atlantic",1998,39023
"179","Ratlantic_Y1999",80.3801084468644,"Ratlantic_Y1999","atlantic",1999,46848
"180","Ratlantic_Y2000",81.5858749486717,"Ratlantic_Y2000","atlantic",2000,50213
"181","Ratlantic_Y2001",80.5459202764608,"Ratlantic_Y2001","atlantic",2001,44631
"182","Ratlantic_Y2002",75.6398766658832,"Ratlantic_Y2002","atlantic",2002,50987
"183","Ratlantic_Y2003",78.5907936974649,"Ratlantic_Y2003","atlantic",2003,39759
"184","Ratlantic_Y2004",77.2060383523808,"Ratlantic_Y2004","atlantic",2004,50227
"185","Ratlantic_Y2005",76.22576173563,"Ratlantic_Y2005","atlantic",2005,46525
"186","Ratlantic_Y2006",87.3884915746634,"Ratlantic_Y2006","atlantic",2006,30364
"187","Ratlantic_Y2007",89.7703259029974,"Ratlantic_Y2007","atlantic",2007,38309
"188","Ratlantic_Y2008",85.1410526557472,"Ratlantic_Y2008","atlantic",2008,32378
"189","Ratlantic_Y2009",78.7074105187782,"Ratlantic_Y2009","atlantic",2009,46315
"190","Ratlantic_Y2010",78.1194004602568,"Ratlantic_Y2010","atlantic",2010,40264
"191","Ratlantic_Y2011",78.8990351373609,"Ratlantic_Y2011","atlantic",2011,40986
"192","Ratlantic_Y2012",77.5789043416928,"Ratlantic_Y2012","atlantic",2012,41396
"193","Ratlantic_Y2013",67.4129584214647,"Ratlantic_Y2013","atlantic",2013,48925
