family,scientificName,Group,1921-1940,1941-1960,1961-1980,1981-2000,2001-2020,mediterranean,alpine,atlantic,continental,boreal
Andrenidae,Andrena grossella,bees,0,0,2,4,2,NA,NA,NA,NA,NA
Andrenidae,Andrena haemorrhoa,bees,1144,1697,5622,11600,33543,NA,NA,NA,NA,NA
Andrenidae,Andrena hattorfiana,bees,689,983,871,1196,14423,0.0193894866351057,0.031438253026742,0.00133944704751575,0.0115508169980861,0.00963503106012837
Andrenidae,Andrena hedikae,bees,1,5,24,15,33,-0.00384818192628324,NA,NA,NA,NA
Andrenidae,Andrena heinrichi,bees,0,0,2,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena helvola,bees,169,307,1205,3074,6546,NA,0.0160726724112916,-0.0473176330598967,-0.0732565699026764,0.0248423146624226
Andrenidae,Andrena henotica,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena hesperia,bees,3,10,120,132,341,NA,NA,NA,NA,NA
Andrenidae,Andrena heterodoxa,bees,0,0,2,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena humabilis,bees,0,0,0,0,16,NA,NA,NA,NA,NA
Andrenidae,Andrena humilis,bees,406,423,1025,1880,4692,NA,NA,NA,NA,NA
Andrenidae,Andrena hyacinthina,bees,0,0,0,0,4,NA,NA,NA,NA,NA
Andrenidae,Andrena hybrida,bees,0,0,0,0,9,NA,NA,NA,NA,NA
Andrenidae,Andrena hyemala,bees,0,0,4,2,33,NA,NA,NA,NA,NA
Andrenidae,Andrena hypopolia,bees,13,15,81,50,25,NA,NA,NA,NA,NA
Andrenidae,Andrena hystrix,bees,3,5,2,20,34,-0.112627380444733,NA,NA,NA,NA
Andrenidae,Andrena icterina,bees,0,0,0,3,5,NA,NA,NA,NA,NA
Andrenidae,Andrena illyrica,bees,0,0,1,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena impunctata,bees,12,6,20,23,84,NA,NA,NA,NA,NA
Andrenidae,Andrena incisa,bees,3,0,0,31,0,NA,NA,NA,NA,NA
Andrenidae,Andrena inconstans,bees,2,0,0,2,0,NA,NA,NA,NA,NA
Andrenidae,Andrena intermedia,bees,202,552,223,450,1946,-0.0251666276227969,0.0162711008137573,-0.0315944245435306,-0.0246020463303078,-0.0254766134292082
Andrenidae,Andrena juliae,bees,0,0,1,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena juliana,bees,0,0,1,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena kamarti,bees,0,0,0,0,6,NA,NA,NA,NA,NA
Andrenidae,Andrena kocoureki,bees,0,0,5,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena korleviciana,bees,0,0,0,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena kornosica,bees,0,0,0,0,12,NA,NA,NA,NA,NA
Andrenidae,Andrena kriechbaumeri,bees,0,0,14,12,83,NA,NA,NA,NA,NA
Andrenidae,Andrena labialis,bees,224,513,510,779,2113,NA,NA,NA,NA,NA
Andrenidae,Andrena labiata,bees,259,378,403,1385,3746,NA,NA,NA,NA,NA
Andrenidae,Andrena labiatula,bees,0,0,2,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena laevicorpus,bees,0,1,0,1,2,NA,NA,NA,NA,NA
Andrenidae,Andrena lagopus,bees,22,12,65,320,539,NA,NA,NA,NA,NA
Andrenidae,Andrena lamiana,bees,0,0,4,3,26,NA,NA,NA,NA,NA
Andrenidae,Andrena langadensis,bees,0,0,2,5,5,NA,NA,NA,NA,NA
Andrenidae,Andrena lapponica,bees,522,498,960,2081,6052,NA,0.00799860817670541,-0.0100277826131527,-0.00867054160021584,0.00716978629943423
Andrenidae,Andrena larisana,bees,0,0,0,6,21,NA,NA,NA,NA,NA
Andrenidae,Andrena lateralis,bees,0,0,7,0,29,0.133465641343475,NA,NA,NA,NA
Andrenidae,Andrena lathyri,bees,441,497,474,433,2262,-0.25646340841829,-0.0154894413624123,-0.032794615507027,-0.0229319321938684,-0.0249214661123975
Andrenidae,Andrena laurivora,bees,0,0,0,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena lavandulae,bees,1,9,10,29,34,NA,NA,NA,NA,NA
Andrenidae,Andrena lecana,bees,0,0,1,2,6,NA,NA,NA,NA,NA
Andrenidae,Andrena lepida,bees,3,11,46,40,43,NA,NA,NA,NA,NA
Andrenidae,Andrena leptopyga,bees,0,0,17,8,12,-0.0704720152760713,NA,NA,NA,NA
