region_50,endYear,taxo_group,nsites,mean_nsurv,nrec
atlantic,1967,hoverflies,49,2.16326530612245,667
atlantic,1968,bees,115,2.25217391304348,2245
atlantic,1968,hoverflies,45,2.35555555555556,559
atlantic,1969,bees,133,2.17293233082707,2731
atlantic,1969,hoverflies,43,2.41860465116279,345
atlantic,1970,bees,176,2.36931818181818,3576
atlantic,1970,hoverflies,47,1.95744680851064,400
atlantic,1971,bees,156,2.44230769230769,4270
atlantic,1971,hoverflies,53,2.33962264150943,430
atlantic,1972,bees,179,2.54748603351955,6332
atlantic,1972,hoverflies,62,2.45161290322581,707
atlantic,1973,bees,167,2.31736526946108,4421
atlantic,1973,hoverflies,57,2.47368421052632,427
atlantic,1974,bees,192,2.52083333333333,6748
atlantic,1974,hoverflies,64,2.125,491
atlantic,1975,bees,154,2.74025974025974,6163
atlantic,1975,hoverflies,61,2.59016393442623,887
atlantic,1976,bees,169,2.61538461538462,5750
atlantic,1976,hoverflies,122,1.83606557377049,849
atlantic,1977,bees,165,2.95757575757576,9437
atlantic,1977,hoverflies,89,2.0561797752809,692
atlantic,1978,bees,167,2.84431137724551,9452
atlantic,1978,hoverflies,134,2.24626865671642,915
atlantic,1979,bees,142,2.83098591549296,11378
atlantic,1979,hoverflies,144,2.24305555555556,1096
atlantic,1980,bees,129,3.10852713178295,7988
atlantic,1980,hoverflies,173,2.63005780346821,2097
atlantic,1981,bees,148,2.58108108108108,8062
atlantic,1981,hoverflies,171,2.11111111111111,1539
atlantic,1982,bees,142,2.88028169014085,9212
atlantic,1982,hoverflies,156,2.40384615384615,1945
atlantic,1983,bees,157,2.61783439490446,8547
atlantic,1983,hoverflies,173,1.95375722543353,1208
atlantic,1984,bees,166,3.01807228915663,13298
atlantic,1984,hoverflies,147,2.2108843537415,1581
atlantic,1985,bees,184,2.83695652173913,11245
atlantic,1985,hoverflies,149,2.6241610738255,1838
atlantic,1986,bees,162,2.85185185185185,9775
atlantic,1986,hoverflies,245,2.15510204081633,2977
atlantic,1987,bees,172,2.83139534883721,9381
atlantic,1987,hoverflies,234,2.35042735042735,5853
atlantic,1988,bees,182,2.81868131868132,9037
atlantic,1988,hoverflies,238,2.47478991596639,4179
atlantic,1989,bees,160,2.925,7485
atlantic,1989,hoverflies,183,3.23497267759563,3553
atlantic,1990,bees,161,3.22981366459627,10712
atlantic,1990,hoverflies,220,2.69090909090909,2156
atlantic,1991,bees,176,2.875,9155
atlantic,1991,hoverflies,159,3.06918238993711,3226
atlantic,1992,bees,200,2.785,9792
atlantic,1992,hoverflies,281,2.66548042704626,4449
atlantic,1993,bees,189,3.10582010582011,11808
atlantic,1993,hoverflies,208,2.90865384615385,3774
atlantic,1994,bees,197,3.18274111675127,13157
atlantic,1994,hoverflies,234,3.02991452991453,4145
atlantic,1995,bees,199,3.13065326633166,14751
atlantic,1995,hoverflies,149,3.05369127516779,2820
atlantic,1996,bees,203,3.13793103448276,18301
atlantic,1996,hoverflies,159,2.89308176100629,3491
atlantic,1997,bees,198,3.54040404040404,22244
atlantic,1997,hoverflies,218,2.77981651376147,6260
atlantic,1998,bees,209,3.36363636363636,28080
atlantic,1998,hoverflies,177,2.88700564971751,5561
atlantic,1999,bees,203,3.57142857142857,33191
atlantic,1999,hoverflies,241,2.43983402489627,5162
atlantic,2000,bees,210,3.75238095238095,34742
atlantic,2000,hoverflies,251,2.54581673306773,3817
atlantic,2001,bees,220,3.54545454545455,30709
atlantic,2001,hoverflies,241,2.53941908713693,5270
atlantic,2002,bees,231,3.87012987012987,31750
atlantic,2002,hoverflies,196,3.02040816326531,4484
atlantic,2003,bees,231,3.7965367965368,24561
atlantic,2003,hoverflies,192,3.23958333333333,3862
atlantic,2004,bees,268,3.57462686567164,31146
atlantic,2004,hoverflies,279,2.59856630824373,3476
atlantic,2005,bees,282,3.61702127659575,30840
atlantic,2005,hoverflies,177,2.87570621468927,4550
atlantic,2006,bees,266,3.53383458646617,21802
atlantic,2006,hoverflies,260,2.67692307692308,5226
atlantic,2007,bees,265,3.86037735849057,28296
atlantic,2007,hoverflies,293,3.02389078498294,6210
atlantic,2008,bees,266,3.86842105263158,23336
atlantic,2008,hoverflies,318,3.19811320754717,8070
atlantic,2009,bees,291,3.94158075601375,31366
atlantic,2009,hoverflies,296,3.05743243243243,11707
atlantic,2010,bees,327,3.43425076452599,29951
atlantic,2010,hoverflies,350,3.08285714285714,11170
atlantic,2011,bees,313,3.84984025559105,34386
atlantic,2011,hoverflies,334,3.87724550898204,12616
atlantic,2012,bees,327,4.24464831804281,34817
atlantic,2012,hoverflies,334,3.8562874251497,14569
atlantic,2013,bees,302,4.10264900662252,35712
atlantic,2013,hoverflies,331,3.78247734138973,17721
atlantic,2014,bees,322,4.55590062111801,50344
atlantic,2014,hoverflies,368,3.94021739130435,21402
atlantic,2015,bees,346,4.52023121387283,55101
atlantic,2015,hoverflies,361,4.00554016620499,18650
atlantic,2016,bees,328,4.70121951219512,62339
atlantic,2016,hoverflies,373,3.96782841823056,22994
atlantic,2017,bees,300,4.19666666666667,48910
atlantic,2017,hoverflies,382,4.26178010471204,22330
atlantic,2018,bees,292,4.17808219178082,38149
atlantic,2018,hoverflies,408,4.29411764705882,29192
atlantic,2019,bees,321,4.34579439252336,41878
atlantic,2019,hoverflies,425,4.75294117647059,43869
atlantic,2020,bees,313,3.37699680511182,15626
