"","sample","Estimator","region_year","region_100","endYear","record_count"
"154","Ratlantic_Y1974",53.4714602527751,"Ratlantic_Y1974","atlantic",1974,10667
"155","Ratlantic_Y1975",55.822741674108,"Ratlantic_Y1975","atlantic",1975,9791
"156","Ratlantic_Y1976",54.7642328758421,"Ratlantic_Y1976","atlantic",1976,8651
"157","Ratlantic_Y1977",57.1489247466961,"Ratlantic_Y1977","atlantic",1977,13100
"158","Ratlantic_Y1978",58.4979870808054,"Ratlantic_Y1978","atlantic",1978,12825
"159","Ratlantic_Y1979",48.5860639743322,"Ratlantic_Y1979","atlantic",1979,27688
"160","Ratlantic_Y1980",56.6719438064169,"Ratlantic_Y1980","atlantic",1980,17745
"161","Ratlantic_Y1981",60.0812611486468,"Ratlantic_Y1981","atlantic",1981,12701
"162","Ratlantic_Y1982",61.9238337836344,"Ratlantic_Y1982","atlantic",1982,11681
"163","Ratlantic_Y1983",63.3868968570037,"Ratlantic_Y1983","atlantic",1983,10642
"164","Ratlantic_Y1984",59.0524132158376,"Ratlantic_Y1984","atlantic",1984,16074
"165","Ratlantic_Y1985",59.5286917513712,"Ratlantic_Y1985","atlantic",1985,13680
"166","Ratlantic_Y1986",62.3695688294512,"Ratlantic_Y1986","atlantic",1986,12107
"167","Ratlantic_Y1987",59.2993250973535,"Ratlantic_Y1987","atlantic",1987,13050
"168","Ratlantic_Y1988",59.519095625944,"Ratlantic_Y1988","atlantic",1988,13663
"169","Ratlantic_Y1989",56.0357015858274,"Ratlantic_Y1989","atlantic",1989,12934
"170","Ratlantic_Y1990",55.7864401746017,"Ratlantic_Y1990","atlantic",1990,15130
"171","Ratlantic_Y1991",56.8927726339824,"Ratlantic_Y1991","atlantic",1991,11756
"172","Ratlantic_Y1992",56.8646334416597,"Ratlantic_Y1992","atlantic",1992,13587
"173","Ratlantic_Y1993",57.5591078893809,"Ratlantic_Y1993","atlantic",1993,16802
"174","Ratlantic_Y1994",60.7309959410072,"Ratlantic_Y1994","atlantic",1994,17359
"175","Ratlantic_Y1995",57.9551775945169,"Ratlantic_Y1995","atlantic",1995,20457
"176","Ratlantic_Y1996",58.377665381217,"Ratlantic_Y1996","atlantic",1996,24900
"177","Ratlantic_Y1997",55.756013351467,"Ratlantic_Y1997","atlantic",1997,32686
"178","Ratlantic_Y1998",55.2890851529953,"Ratlantic_Y1998","atlantic",1998,39023
"179","Ratlantic_Y1999",53.608343691761,"Ratlantic_Y1999","atlantic",1999,46848
"180","Ratlantic_Y2000",54.1205387796199,"Ratlantic_Y2000","atlantic",2000,50213
"181","Ratlantic_Y2001",53.3619304516787,"Ratlantic_Y2001","atlantic",2001,44631
"182","Ratlantic_Y2002",50.0493054352735,"Ratlantic_Y2002","atlantic",2002,50987
"183","Ratlantic_Y2003",51.2840851588755,"Ratlantic_Y2003","atlantic",2003,39759
"184","Ratlantic_Y2004",50.6209298867538,"Ratlantic_Y2004","atlantic",2004,50227
"185","Ratlantic_Y2005",50.0128078638107,"Ratlantic_Y2005","atlantic",2005,46525
"186","Ratlantic_Y2006",56.4961652845881,"Ratlantic_Y2006","atlantic",2006,30364
"187","Ratlantic_Y2007",57.8981892437962,"Ratlantic_Y2007","atlantic",2007,38309
"188","Ratlantic_Y2008",55.0204136379851,"Ratlantic_Y2008","atlantic",2008,32378
"189","Ratlantic_Y2009",50.863960039939,"Ratlantic_Y2009","atlantic",2009,46315
"190","Ratlantic_Y2010",50.9152792992454,"Ratlantic_Y2010","atlantic",2010,40264
"191","Ratlantic_Y2011",51.91182632808,"Ratlantic_Y2011","atlantic",2011,40986
"192","Ratlantic_Y2012",50.6494741855361,"Ratlantic_Y2012","atlantic",2012,41396
"193","Ratlantic_Y2013",43.6627461965085,"Ratlantic_Y2013","atlantic",2013,48925
"194","Ratlantic_Y2014",47.3023974992464,"Ratlantic_Y2014","atlantic",2014,59070
"195","Ratlantic_Y2015",51.7572838019239,"Ratlantic_Y2015","atlantic",2015,60708
"196","Ratlantic_Y2016",49.8228087033402,"Ratlantic_Y2016","atlantic",2016,72830
"197","Ratlantic_Y2017",48.4083430822634,"Ratlantic_Y2017","atlantic",2017,49664
"198","Ratlantic_Y2018",49.8155132414267,"Ratlantic_Y2018","atlantic",2018,40634
"199","Ratlantic_Y2019",51.4212539483726,"Ratlantic_Y2019","atlantic",2019,44021
"200","Ratlantic_Y2020",47.558556717257,"Ratlantic_Y2020","atlantic",2020,18190
"201","Rboreal_Y1921",56.1367889071267,"Rboreal_Y1921","boreal",1921,1297
"202","Rboreal_Y1922",65.799870787703,"Rboreal_Y1922","boreal",1922,1176
"203","Rboreal_Y1923",44.1090626971648,"Rboreal_Y1923","boreal",1923,293
"204","Rboreal_Y1924",30.5975027350636,"Rboreal_Y1924","boreal",1924,1686
"205","Rboreal_Y1925",54.3080432680888,"Rboreal_Y1925","boreal",1925,520
"206","Rboreal_Y1926",60.2696146437911,"Rboreal_Y1926","boreal",1926,1101
"207","Rboreal_Y1927",59.0680825056656,"Rboreal_Y1927","boreal",1927,988
"208","Rboreal_Y1928",56.7631538223878,"Rboreal_Y1928","boreal",1928,699
"209","Rboreal_Y1929",59.6468306303959,"Rboreal_Y1929","boreal",1929,599
"210","Rboreal_Y1930",43.7843674859942,"Rboreal_Y1930","boreal",1930,918
"211","Rboreal_Y1931",55.3610352221493,"Rboreal_Y1931","boreal",1931,395
"212","Rboreal_Y1932",58.6864460023048,"Rboreal_Y1932","boreal",1932,633
"213","Rboreal_Y1933",63.4116363639032,"Rboreal_Y1933","boreal",1933,496
"214","Rboreal_Y1934",38.0732109269538,"Rboreal_Y1934","boreal",1934,2003
"215","Rboreal_Y1935",52.3899612367188,"Rboreal_Y1935","boreal",1935,952
"216","Rboreal_Y1936",60.5216970614696,"Rboreal_Y1936","boreal",1936,791
"217","Rboreal_Y1937",53.9823637964296,"Rboreal_Y1937","boreal",1937,1089
"218","Rboreal_Y1938",60.6386204240313,"Rboreal_Y1938","boreal",1938,826
"219","Rboreal_Y1939",51.5905746852925,"Rboreal_Y1939","boreal",1939,1486
"220","Rboreal_Y1940",54.5539170056604,"Rboreal_Y1940","boreal",1940,1932
"221","Rboreal_Y1941",58.3350812125561,"Rboreal_Y1941","boreal",1941,1327
"222","Rboreal_Y1942",56.2164712449937,"Rboreal_Y1942","boreal",1942,597
"223","Rboreal_Y1943",59.4330336112262,"Rboreal_Y1943","boreal",1943,581
"224","Rboreal_Y1944",61.3885090013104,"Rboreal_Y1944","boreal",1944,825
"225","Rboreal_Y1945",62.1163901793242,"Rboreal_Y1945","boreal",1945,1253
"226","Rboreal_Y1946",60.2552257492095,"Rboreal_Y1946","boreal",1946,1187
"227","Rboreal_Y1947",66.0717210765337,"Rboreal_Y1947","boreal",1947,1326
"228","Rboreal_Y1948",64.7476627794597,"Rboreal_Y1948","boreal",1948,1815
"229","Rboreal_Y1949",62.504231025556,"Rboreal_Y1949","boreal",1949,2802
"230","Rboreal_Y1950",63.5665634272025,"Rboreal_Y1950","boreal",1950,2269
"231","Rboreal_Y1951",65.4023227184875,"Rboreal_Y1951","boreal",1951,2023
"232","Rboreal_Y1952",59.0917040349188,"Rboreal_Y1952","boreal",1952,2320
"233","Rboreal_Y1953",59.1634449051483,"Rboreal_Y1953","boreal",1953,2422
"234","Rboreal_Y1954",62.658298299064,"Rboreal_Y1954","boreal",1954,3759
"235","Rboreal_Y1955",57.3307175411214,"Rboreal_Y1955","boreal",1955,1766
"236","Rboreal_Y1956",64.1763664971162,"Rboreal_Y1956","boreal",1956,3498
"237","Rboreal_Y1957",61.0700069765472,"Rboreal_Y1957","boreal",1957,3145
"238","Rboreal_Y1958",47.6458079957889,"Rboreal_Y1958","boreal",1958,5907
"239","Rboreal_Y1959",60.4880883256124,"Rboreal_Y1959","boreal",1959,3661
"240","Rboreal_Y1960",48.852863017033,"Rboreal_Y1960","boreal",1960,4325
"241","Rboreal_Y1961",53.1315729166396,"Rboreal_Y1961","boreal",1961,5940
"242","Rboreal_Y1962",59.6720426058969,"Rboreal_Y1962","boreal",1962,2532
"243","Rboreal_Y1963",55.1759455364472,"Rboreal_Y1963","boreal",1963,2964
"244","Rboreal_Y1964",59.8577293942474,"Rboreal_Y1964","boreal",1964,3264
"245","Rboreal_Y1965",55.4288106644935,"Rboreal_Y1965","boreal",1965,2166
"246","Rboreal_Y1966",45.4391461967918,"Rboreal_Y1966","boreal",1966,1446
"247","Rboreal_Y1967",58.5589515894845,"Rboreal_Y1967","boreal",1967,1725
"248","Rboreal_Y1968",62.5970659163383,"Rboreal_Y1968","boreal",1968,2007
"249","Rboreal_Y1969",60.163345226578,"Rboreal_Y1969","boreal",1969,1746
"250","Rboreal_Y1970",61.4598211547643,"Rboreal_Y1970","boreal",1970,2099
"251","Rboreal_Y1971",58.581701213848,"Rboreal_Y1971","boreal",1971,1390
"252","Rboreal_Y1972",36.549438867492,"Rboreal_Y1972","boreal",1972,5721
"253","Rboreal_Y1973",61.7024017065542,"Rboreal_Y1973","boreal",1973,1793
"254","Rboreal_Y1974",58.4054401504338,"Rboreal_Y1974","boreal",1974,3773
"255","Rboreal_Y1975",61.9552603498062,"Rboreal_Y1975","boreal",1975,2308
"256","Rboreal_Y1976",49.0951166432723,"Rboreal_Y1976","boreal",1976,5063
"257","Rboreal_Y1977",63.8924139811984,"Rboreal_Y1977","boreal",1977,2298
"258","Rboreal_Y1978",64.0670617698871,"Rboreal_Y1978","boreal",1978,2469
"259","Rboreal_Y1979",48.9727693231515,"Rboreal_Y1979","boreal",1979,2880
"260","Rboreal_Y1980",62.4298264022504,"Rboreal_Y1980","boreal",1980,1695
"261","Rboreal_Y1981",58.5700269814672,"Rboreal_Y1981","boreal",1981,1818
"262","Rboreal_Y1982",61.102470402105,"Rboreal_Y1982","boreal",1982,908
"263","Rboreal_Y1983",51.9898934486309,"Rboreal_Y1983","boreal",1983,2948
"264","Rboreal_Y1984",61.0553814703178,"Rboreal_Y1984","boreal",1984,1368
"265","Rboreal_Y1985",57.3168877597227,"Rboreal_Y1985","boreal",1985,1362
"266","Rboreal_Y1986",54.6636178583209,"Rboreal_Y1986","boreal",1986,1761
"267","Rboreal_Y1987",59.4766344705084,"Rboreal_Y1987","boreal",1987,1577
"268","Rboreal_Y1988",45.5097510914912,"Rboreal_Y1988","boreal",1988,1110
"269","Rboreal_Y1989",53.5603379947122,"Rboreal_Y1989","boreal",1989,2612
"270","Rboreal_Y1990",45.3904456096358,"Rboreal_Y1990","boreal",1990,3875
"271","Rboreal_Y1991",49.1890141955955,"Rboreal_Y1991","boreal",1991,3346
"272","Rboreal_Y1992",58.7478576359035,"Rboreal_Y1992","boreal",1992,2745
"273","Rboreal_Y1993",58.2050961785466,"Rboreal_Y1993","boreal",1993,2819
"274","Rboreal_Y1994",60.7331404796692,"Rboreal_Y1994","boreal",1994,4529
"275","Rboreal_Y1995",60.9053430613916,"Rboreal_Y1995","boreal",1995,3097
"276","Rboreal_Y1996",56.5081072539523,"Rboreal_Y1996","boreal",1996,3811
"277","Rboreal_Y1997",59.7433478717679,"Rboreal_Y1997","boreal",1997,2644
"278","Rboreal_Y1998",60.2961070172585,"Rboreal_Y1998","boreal",1998,3266
"279","Rboreal_Y1999",64.3687159143909,"Rboreal_Y1999","boreal",1999,3335
"280","Rboreal_Y2000",60.17934275232,"Rboreal_Y2000","boreal",2000,4740
"281","Rboreal_Y2001",60.0856740566235,"Rboreal_Y2001","boreal",2001,6095
"282","Rboreal_Y2002",38.2287284573213,"Rboreal_Y2002","boreal",2002,12950
"283","Rboreal_Y2003",51.5396749132291,"Rboreal_Y2003","boreal",2003,11373
"284","Rboreal_Y2004",60.8773160393149,"Rboreal_Y2004","boreal",2004,17462
"285","Rboreal_Y2005",61.6273968988474,"Rboreal_Y2005","boreal",2005,16002
"286","Rboreal_Y2006",63.3990969069999,"Rboreal_Y2006","boreal",2006,16735
"287","Rboreal_Y2007",62.4133829496573,"Rboreal_Y2007","boreal",2007,27930
"288","Rboreal_Y2008",60.6471779498322,"Rboreal_Y2008","boreal",2008,69761
"289","Rboreal_Y2009",57.9944257628202,"Rboreal_Y2009","boreal",2009,36575
"290","Rboreal_Y2010",58.2978757802413,"Rboreal_Y2010","boreal",2010,28979
"291","Rboreal_Y2011",51.9863810116425,"Rboreal_Y2011","boreal",2011,24396
"292","Rboreal_Y2012",54.1335740616657,"Rboreal_Y2012","boreal",2012,25682
"293","Rboreal_Y2013",53.8038254774531,"Rboreal_Y2013","boreal",2013,24204
"294","Rboreal_Y2014",57.3339893248633,"Rboreal_Y2014","boreal",2014,23532
"295","Rboreal_Y2015",55.2753172971166,"Rboreal_Y2015","boreal",2015,21477
"296","Rboreal_Y2016",54.5982335800902,"Rboreal_Y2016","boreal",2016,16397
"297","Rboreal_Y2017",56.0697006837761,"Rboreal_Y2017","boreal",2017,17484
"298","Rboreal_Y2018",55.0404389339785,"Rboreal_Y2018","boreal",2018,16563
"299","Rboreal_Y2019",52.5329392749666,"Rboreal_Y2019","boreal",2019,20988
"300","Rboreal_Y2020",54.5894978078894,"Rboreal_Y2020","boreal",2020,27650
"301","Rcontinental_Y1921",66.2827626650081,"Rcontinental_Y1921","continental",1921,810
"302","Rcontinental_Y1922",71.4107880834987,"Rcontinental_Y1922","continental",1922,578
"303","Rcontinental_Y1923",47.8270208442905,"Rcontinental_Y1923","continental",1923,806
"304","Rcontinental_Y1924",68.8160714219576,"Rcontinental_Y1924","continental",1924,818
"305","Rcontinental_Y1925",66.2293150544423,"Rcontinental_Y1925","continental",1925,1284
"306","Rcontinental_Y1926",71.3644666650577,"Rcontinental_Y1926","continental",1926,1121
"307","Rcontinental_Y1927",68.9239243517654,"Rcontinental_Y1927","continental",1927,1050
"308","Rcontinental_Y1928",72.220329157068,"Rcontinental_Y1928","continental",1928,1104
"309","Rcontinental_Y1929",71.0120004998733,"Rcontinental_Y1929","continental",1929,1108
"310","Rcontinental_Y1930",73.3846329924632,"Rcontinental_Y1930","continental",1930,2219
