"","endYear",".estimate","std_error","conf.low","conf.high","region_100","min_year","max_year",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"89",1982,61.5977974665459,11.2891565720273,39.347116992065,83.8484779410269,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.42959818792929,-1.97673887551969,4.83593525137826,"Stable"
"90",1983,97.429290185072,5.17104241381219,87.2372787858482,107.621301584296,"alpine",1966,2020,"s(endYear):region_100alpine",1.47894930471439,0.0722380697815024,2.88566053964727,"Increasing"
"91",1983,64.4028901620306,1.70756761308714,61.0373117767048,67.7684685473565,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.253275035567456,-0.478102780340808,-0.0284472907941039,"Decreasing"
"92",1983,80.9777061663364,5.16834684756885,70.7910076691701,91.1644046635027,"boreal",1966,2020,"s(endYear):region_100boreal",0.281033094322036,-0.231304956301896,0.793371144945969,"Stable"
"93",1983,93.6658755557512,4.29373813171291,85.203011691628,102.128739419874,"continental",1955,2020,"s(endYear):region_100continental",0.301698664400413,-0.899898463752312,1.50329579255314,"Stable"
"94",1983,62.9694188680013,10.2384932761223,42.7895727498594,83.1492649861432,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.31385552657505,-1.88079874700853,4.50850980015863,"Stable"
"95",1984,98.8379107049049,5.01159119104147,88.9601741752429,108.715647234567,"alpine",1966,2020,"s(endYear):region_100alpine",1.33859115963444,0.034768731171319,2.64241358809755,"Increasing"
"96",1984,64.1357593409011,1.67645659598169,60.8315000892442,67.440018592558,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.2809284745495,-0.492707371501577,-0.0691495775974234,"Decreasing"
"97",1984,81.258736183342,4.98911215536448,71.4253053409147,91.0921670257693,"boreal",1966,2020,"s(endYear):region_100boreal",0.28102739584159,-0.231264312879096,0.793319104562275,"Stable"
"98",1984,93.9118404014321,4.04366821384019,85.9418588711985,101.881821931666,"continental",1955,2020,"s(endYear):region_100continental",0.190466941199775,-0.930517249744843,1.31145113214439,"Stable"
"99",1984,64.2259584824494,9.29684853475316,45.9020735361631,82.5498434287356,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.19946789589722,-1.78672510048655,4.185660892281,"Stable"
"100",1985,100.107106994235,4.89637940118055,90.4564503803073,109.757763608162,"alpine",1966,2020,"s(endYear):region_100alpine",1.20014132790396,-0.00385578296251543,2.40413843877043,"Stable"
"101",1985,63.8411590811534,1.64679881751514,60.5953546616207,67.0869635006861,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.308205936585297,-0.507805764497317,-0.108606108673277,"Decreasing"
"102",1985,81.5397605397837,4.81142022144351,72.056556609291,91.0229644702763,"boreal",1966,2020,"s(endYear):region_100boreal",0.281021774837846,-0.231228687356234,0.793272237031926,"Stable"
"103",1985,94.0473136371966,3.83591854271122,86.4868021609458,101.607825113447,"continental",1955,2020,"s(endYear):region_100continental",0.0807475276848134,-0.96139470468269,1.12288976005232,"Stable"
"104",1985,65.3688715782709,8.46541453924963,48.6837248363435,82.0540183201982,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.08663548271327,-1.6948170666394,3.86808803206595,"Stable"
"105",1986,101.23890917981,4.81691470002926,91.7448757523038,110.732942607317,"alpine",1966,2020,"s(endYear):region_100alpine",1.06384399292736,-0.0439311029810132,2.17161908883574,"Stable"
"106",1986,63.5194893594767,1.6180065634086,60.3304338425017,66.7085448764517,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.335059312526135,-0.523471370095232,-0.146647254957037,"Decreasing"
"107",1986,81.8207793180837,4.63544643576019,72.684415866961,90.9571427692064,"boreal",1966,2020,"s(endYear):region_100boreal",0.281016241224547,-0.231197948616891,0.793230431065984,"Stable"
"108",1986,94.0739041080206,3.66705877132594,86.84621154469,101.301596671351,"continental",1955,2020,"s(endYear):region_100continental",-0.0272660644616601,-0.992607259723807,0.938075130800487,"Stable"
"109",1986,66.3998126471848,7.74442127102215,51.1357278537941,81.6638974405754,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.975557289090852,-1.60540260662542,3.55651718480713,"Stable"
"110",1987,102.235588978586,4.76458497342707,92.844696296671,111.6264816605,"alpine",1966,2020,"s(endYear):region_100alpine",0.929935584856474,-0.085849235691499,1.94572040540445,"Stable"
"111",1987,63.1711977507955,1.58954997571664,60.0382295452231,66.3041659563678,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.361442020773395,-0.539783159386532,-0.183100882160259,"Decreasing"
"112",1987,82.1017926104729,4.4613922767128,73.3084860966429,90.8950991243028,"boreal",1966,2020,"s(endYear):region_100boreal",0.281010804600654,-0.231171936134536,0.793193545335845,"Stable"
"113",1987,93.993412115492,3.53273000586447,87.0304786083181,100.956345622666,"continental",1955,2020,"s(endYear):region_100continental",-0.133386467893145,-1.02426399682141,0.757491061035123,"Stable"
"114",1987,67.3206330695999,7.13251261770564,53.262606836709,81.3786593024907,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.86642599843192,-1.51884334039425,3.25169533725809,"Stable"
"115",1988,103.099656250299,4.73118734590953,93.7745895611194,112.424722939478,"alpine",1966,2020,"s(endYear):region_100alpine",0.798656806942555,-0.130120784819078,1.72743439870419,"Stable"
"116",1988,62.7967787490564,1.56096159336044,59.7201576192847,65.873399878828,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.387306637840058,-0.556818550888382,-0.217794724791733,"Decreasing"
"117",1988,82.3828005188503,4.28948979478341,73.9283100338155,90.8372910038851,"boreal",1966,2020,"s(endYear):region_100boreal",0.281005474738618,-0.231150464225735,0.79316141370297,"Stable"
"118",1988,93.8078266857801,3.42785716186071,87.0515952583842,100.564058113176,"continental",1955,2020,"s(endYear):region_100continental",-0.237422928895972,-1.05651284506439,0.581666987272445,"Stable"
"119",1988,68.1333783050692,6.62605125295512,55.073576335243,81.1931802748955,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",0.759437776584872,-1.43555443337288,2.95442998654262,"Stable"
"120",1989,103.83385492792,4.70931404382133,94.551900038332,113.115809817508,"alpine",1966,2020,"s(endYear):region_100alpine",0.670237833872255,-0.177408371164703,1.51788403890921,"Stable"
